iter	Passed	Remaining
722	30485	11679
723	30522	11635
724	30557	11590
725	30590	11545
726	30624	11499
727	30660	11455
728	30699	11412
729	30734	11367
730	30769	11322
731	30805	11278
732	30842	11234
733	30874	11188
734	30903	11142
735	30932	11095
736	30968	11051
737	31006	11007
738	31040	10962
739	31076	10918
740	31110	10873
741	31148	10830
742	31185	10787
743	31219	10742
744	31253	10697
745	31290	10653
746	31326	10609
747	31361	10565
748	31400	10522
749	31444	10481
750	31482	10438
751	31518	10394
752	31553	10350
753	31591	10307
754	31627	10263
755	31663	10219
756	31700	10175
757	31736	10132
758	31773	10088
759	31807	10044
760	31842	10000
761	31877	9956
762	31914	9913
763	31950	9869
764	31981	9824
765	32014	9779
766	32050	9736
767	32084	9692
768	32119	9648
769	32155	9604
770	32193	9562
771	32238	9521
772	32275	9477
773	32313	9435
774	32357	9394
775	32393	9350
776	32432	9308
777	32470	9265
778	32508	9222
779	32543	9179
780	32580	9135
781	32616	9092
782	32654	9049
783	32690	9006
784	32726	8963
785	32763	8920
786	32798	8876
787	32833	8833
788	32866	8789
789	32903	8746
790	32940	8703
791	32977	8660
792	33021	8619
793	33050	8574
794	33078	8529
795	33107	8484
796	33140	8441
797	33177	8398
798	33216	8356
799	33251	8312
800	33287	8269
801	33323	8226
802	33355	8183
803	33383	8138
804	33418	8095
805	33454	8052
806	33501	8012
807	33541	7970
808	33576	7927
809	33611	7884
810	33646	7841
811	33675	7796
812	33711	7754
813	33746	7711
814	33781	7668
815	33816	7625
816	33852	7582
817	33887	7539
818	33924	7497
819	33953	7453
820	33986	7410
821	34027	7368
822	34062	7325
823	34099	7283
824	34133	7240
825	34167	7197
826	34208	7156
827	34245	7113
828	34282	7071
829	34318	7029
830	34353	6986
831	34391	6944
832	34426	6901
833	34455	6858
834	34490	6815
835	34524	6772
836	34564	6731
837	34601	6689
838	34640	6647
839	34683	6606
840	34726	6565
841	34767	6524
842	34810	6483
843	34851	6441
844	34891	6400
845	34929	6358
846	34965	6316
847	35004	6274
848	35051	6234
849	35102	6194
850	35193	6162
851	35260	6125
852	35319	6086
853	35383	6049
854	35448	6011
855	35510	5973
856	35573	5935
857	35638	5898
858	35703	5860
859	35742	5818
860	35778	5776
861	35814	5733
862	35850	5691
863	35884	5648
864	35938	5608
865	36009	5571
866	36074	5533
867	36131	5494
868	36189	5455
869	36252	5417
870	36312	5378
871	36376	5339
872	36442	5301
873	36510	5263
874	36583	5226
875	36638	5186
876	36698	5147
877	36753	5106
878	36807	5066
879	36871	5027
880	36908	4985
881	36946	4942
882	36998	4902
883	37036	4860
884	37074	4817
885	37130	4777
886	37179	4736
887	37219	4694
888	37255	4651
889	37294	4609
890	37334	4567
891	37369	4524
892	37408	4482
893	37477	4443
894	37557	4406
895	37608	4365
896	37643	4322
897	37704	4282
898	37769	4243
899	37836	4204
900	37901	4164
901	37960	4124
902	38025	4084
903	38085	4044
904	38147	4004
905	38212	3964
906	38283	3925
907	38350	3885
908	38415	3845
909	38478	3805
910	38543	3765
911	38605	3725
912	38668	3684
913	38732	3644
914	38792	3603
915	38860	3563
916	38925	3523
917	38986	3482
918	39053	3442
919	39109	3400
920	39149	3358
921	39188	3315
922	39239	3273
923	39299	3232
924	39361	3191
925	39419	3150
926	39476	3108
927	39543	3068
928	39594	3026
929	39669	2985
930	39735	2944
931	39796	2903
932	39864	2862
933	39906	2819
934	39949	2777
935	39994	2734
936	40045	2692
937	40085	2649
938	40123	2606
939	40165	2563
940	40230	2522
941	40267	2479
942	40308	2436
943	40344	2393
944	40383	2350
945	40419	2307
946	40460	2264
947	40497	2221
948	40533	2178
949	40571	2135
950	40607	2092
951	40644	2049
952	40680	2006
953	40717	1963
954	40752	1920
955	40786	1877
956	40816	1833
957	40850	1790
958	40887	1748
959	40924	1705
960	40956	1662
961	40993	1619
962	41029	1576
963	41075	1533
964	41132	1491
965	41167	1448
966	41201	1406
967	41240	1363
